pk,run_id,zooniverse_id,projection,algorithm,number_of_clusters,expected_number_of_clusters,mean_distances_from_clusters,parameters
847,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,18,8,250.24979,115.00000
883,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,4,8,273.13057,295.00000
854,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,15,8,275.74172,150.00000
853,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,15,8,275.74172,145.00000
855,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,13,8,276.17342,155.00000
856,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,13,8,278.27340,160.00000
857,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,13,8,278.54165,165.00000
882,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,5,8,292.49190,290.00000
884,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,KMeans,8,8,299.14530,
879,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,6,8,299.76846,275.00000
880,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,6,8,299.90033,280.00000
872,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,6,8,301.34993,240.00000
878,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,6,8,303.63952,270.00000
859,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,12,8,304.95585,175.00000
860,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,12,8,304.95585,180.00000
861,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,11,8,306.54116,185.00000
858,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,13,8,306.79171,170.00000
877,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,6,8,307.69298,265.00000
862,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,10,8,308.12546,190.00000
876,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,6,8,309.84500,260.00000
881,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,6,8,311.81719,285.00000
875,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,7,8,321.82100,255.00000
873,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,7,8,322.30429,245.00000
871,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,7,8,323.12594,235.00000
870,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,8,8,324.09336,230.00000
868,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,9,8,330.02543,220.00000
869,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,8,8,330.19857,225.00000
874,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,8,8,335.99575,250.00000
867,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,8,8,339.93190,215.00000
866,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,8,8,343.01008,210.00000
865,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,9,8,345.48001,205.00000
864,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,9,8,346.74688,200.00000
863,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,8,8,354.72775,195.00000
